pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
LON	PAR	LG4	1	1000	0.001624548736462	615	54	33240	8552
LON	PUN-Y	LG4	1	1000	0.0029911462072266	611	100	33432	18808
LON	PUN-R	LG4	1	1000	0.0031268612269207	614	126	40296	11944
LON	GRA	LG4	1	1000	0.0054296185692955	611	160	29468	12324
LON	CAL	LG4	1	1000	0.0017341756472191	613	56	32292	9500
LON	CLV	LG4	1	1000	0.0039304923458833	314	38	9668	21676
LON	ARI	LG4	1	1000	0.0004413062665489	424	6	13596	28196
LON	AUR	LG4	1	1000	0.0052179962894248	586	90	17248	24544
CAL	AUR	LG4	1	1000	0.0056151734464686	586	90	16028	25764
CLV	ARI	LG4	1	1000	0.001174398120963	248	8	6812	24532
CLV	AUR	LG4	1	1000	0.004177545691906	306	32	7660	23684
ARI	AUR	LG4	1	1000	0.0020764119601328	417	20	9632	32160
PUN-Y	GRA	LG4	1	1000	0.0056442731277533	612	164	29056	23184
PUN-Y	CAL	LG4	1	1000	0.0030701754385964	611	98	31920	20320
PUN-Y	CLV	LG4	1	1000	0.0058160668847691	315	64	11004	28176
PUN-Y	ARI	LG4	1	1000	0.0024576734025122	424	36	14648	37592
PUN-Y	AUR	LG4	1	1000	0.0057117750439367	585	104	18208	34032
PUN-R	GRA	LG4	1	1000	0.0067102740498477	612	238	35468	16772
PUN-R	CAL	LG4	1	1000	0.002750050926869	613	108	39272	12968
PUN-R	CLV	LG4	1	1000	0.0044781260764726	314	52	11612	27568
PUN-R	ARI	LG4	1	1000	0.0003754693366708	423	6	15980	36260
PUN-R	AUR	LG4	1	1000	0.0061301166699624	586	124	20228	32012
GRA	CAL	LG4	1	1000	0.0053870144598809	615	152	28216	13576
GRA	CLV	LG4	1	1000	0.0053168864313058	315	50	9404	21940
GRA	ARI	LG4	1	1000	0.0040714062010648	424	52	12772	29020
GRA	AUR	LG4	1	1000	0.0085815244825845	583	136	15848	25944
CAL	CLV	LG4	1	1000	0.0043005885015844	312	38	8836	22508
CAL	ARI	LG4	1	1000	0.00062893081761	423	8	12720	29072
PAR	PUN-Y	LG4	1	1000	0.0028863499699338	615	96	33260	18980
PAR	PUN-R	LG4	1	1000	0.0025873221216041	617	104	40196	12044
PAR	GRA	LG4	1	1000	0.0052312775330396	619	152	29056	12736
PAR	CAL	LG4	1	1000	0.0009335324869305	620	30	32136	9656
PAR	CLV	LG4	1	1000	0.0045605306799336	314	44	9648	21696
PAR	ARI	LG4	1	1000	0.0012048192771084	423	16	13280	28512
PAR	AUR	LG4	1	1000	0.0054631828978622	586	92	16840	24952
PUN-Y	PUN-R	LG4	1	1000	0.0036863604662747	613	148	40148	25152
LON	CAL	LG4	1001	2000	0.0161144578313253	756	642	39840	8800
LON	CLV	LG4	1001	2000	0.0371662417818328	730	1108	29812	6668
LON	ARI	LG4	1001	2000	0.020694259012016	695	744	35952	12688
LON	AUR	LG4	1001	2000	0.0242025222551928	757	1044	43136	5504
PAR	PUN-Y	LG4	1001	2000	0.0202696748039129	754	920	45388	15412
PAR	PUN-R	LG4	1001	2000	0.0175893207695327	755	896	50940	9860
PAR	GRA	LG4	1001	2000	0.0305649444712699	748	1266	41420	7220
PAR	CAL	LG4	1001	2000	0.0207952003254016	754	818	39336	9304
GRA	ARI	LG4	1001	2000	0.025239722252838	689	916	36292	12348
GRA	AUR	LG4	1001	2000	0.0278483309143686	750	1228	44096	4544
CAL	CLV	LG4	1001	2000	0.0393566050650239	729	1150	29220	7260
CAL	ARI	LG4	1001	2000	0.0205646566747995	694	708	34428	14212
CAL	AUR	LG4	1001	2000	0.0277567260325881	756	1172	42224	6416
CLV	ARI	LG4	1001	2000	0.0288639162561576	670	750	25984	10496
CLV	AUR	LG4	1001	2000	0.0359748427672955	730	1144	31800	4680
ARI	AUR	LG4	1001	2000	0.0279626449119793	695	1042	37264	11376
PUN-R	ARI	LG4	1001	2000	0.0196130872782383	695	880	44868	15932
PUN-R	AUR	LG4	1001	2000	0.0251756007393715	757	1362	54100	6700
GRA	CAL	LG4	1001	2000	0.0292897362441963	749	1186	40492	8148
GRA	CLV	LG4	1001	2000	0.0398406374501992	726	1240	31124	5356
PUN-Y	AUR	LG4	1001	2000	0.0261467889908256	756	1254	47960	12840
PUN-R	GRA	LG4	1001	2000	0.0269833948339483	750	1404	52032	8768
PUN-R	CAL	LG4	1001	2000	0.0167973124300112	756	840	50008	10792
PUN-R	CLV	LG4	1001	2000	0.036204877009903	730	1360	37564	8036
LON	PAR	LG4	1001	2000	0.0194246012329973	755	794	40876	7764
LON	PUN-Y	LG4	1001	2000	0.0170768018215255	756	780	45676	15124
LON	PUN-R	LG4	1001	2000	0.0148344784509681	757	760	51232	9568
LON	GRA	LG4	1001	2000	0.0266079632465543	750	1112	41792	6848
